,date,sign,lemm_tokens
10,2021-01-01,aquarius,"['несмотря', 'усталость', 'долгий', 'безумно', 'весёлый', 'ночь', 'хотеть', 'продолжать', 'праздник', 'общение', 'далёкий', 'звезда', 'советовать', 'отдохнуть', 'восстановить', 'сила', 'волноваться', 'первый', 'день', 'новый', 'год', 'вряд', 'пропустить', 'чтоть', 'интересный', 'прислушиваться', 'свой', 'интуиция', 'подсказать', 'какой', 'информация', 'обратить', 'внимание', 'какой', 'человек', 'завести', 'знакомство']"
11,2021-01-01,pisces,"['бурный', 'весёлый', 'ночь', 'прийтись', 'отдыхать', 'несколько', 'день', 'тот', 'последний', 'время', 'выдаться', 'очень', 'напрячь', 'сила', 'активный', 'времяпровождение', 'волноваться', 'чтоть', 'успеть', 'звезда', 'проконтролировать', 'ваш', 'дело', 'подарок', 'вселенная', 'закончиться', 'поэтому', 'очередной', 'сюрприз', 'настигнуть', 'самый', 'неожиданный', 'время']"
12,2021-01-02,aries,"['ваш', 'дом', 'ваш', 'крепость', 'сегодня', 'захотеться', 'выходить', 'предел', 'свой', 'тёплый', '«берлоги»', 'потребоваться', 'наводить', 'порядок', 'создавать', 'уют', 'отдыхать', 'садиться', 'кресло', 'лидер', 'раздавать', 'свой', 'указ', 'контролировать', 'близкий', 'такой', 'тактика', 'добро', 'довести', 'рискованный', 'действие', 'авантюра', 'стоить', 'отказаться', 'смочь', 'добиться', 'свой', 'мягкий', 'метод', 'серьёзный', 'потеря']"
13,2021-01-02,gemini,"['будущее', 'ваш', 'рука', 'маленький', 'тревожиться', 'строить', 'план', 'договариваться', 'человек', 'также', 'стоить', 'активный', 'менять', 'настоящий', 'отказываться', 'многий', 'благо', 'изз', 'страх', 'некорректный', 'информация', 'возможно', 'прийти', 'время', 'попробовать', 'сжигать', 'мост', 'рвать', 'отношение', 'сегодня', 'плохой', 'идея', 'человек', 'связь', 'пригодиться', 'скорый', 'время', 'стоить', 'бояться', 'сложный', 'серьёзный', 'задача', 'поддаться', 'ваш', 'коллега', 'мочь', 'справиться', 'они', 'ура']"
14,2021-01-02,taurus,"['сегодня', 'мочь', 'насмешить', 'спешка', 'человек', 'звезда', 'выделять', 'каждый', 'дело', 'максимальный', 'количество', 'время', 'торопиться', 'чтолибо', 'сказать', 'сделать', 'день', 'пройти', 'отлично', 'кстати', 'некоторый', 'дело', 'вопрос', 'потребовать', 'сиюминутный', 'решение', 'интуиция', 'подсказать', 'прийтись', 'действовать', 'молниеносно', 'медленно', 'дотошно', 'личный', 'фронт', 'неспокойно', 'работа', 'ударить', 'отношение']"
15,2021-01-02,cancer,"['смело', 'смотреть', 'вперёд', 'обговаривать', 'мелочь', 'делать', 'резкий', 'движение', 'нужно', 'хорошенько', 'подготовиться', 'будущий', 'продумать', 'сценарий', 'развитие', 'сюжет', 'вычислить', 'ошибка', 'прежде', 'выстраивать', 'жизнь', 'задуматься', 'кстати', 'прошлое', 'сегодня', 'напомнить', 'ваш', 'неверный', 'действие', 'откликнуться', 'неприятность', 'именно', 'это', 'сложный', 'время', 'также', 'полезно', 'присматриваться', 'человек', 'мочь', 'изменить', 'свой', 'мнение', 'некоторый']"
16,2021-01-02,leo,"['осторожный', 'эмоция', 'сегодня', 'нервный', 'система', '«сдать»', 'поэтому', 'заниматься', 'любимый', 'дело', 'медитация', 'спать', 'ваш', 'организм', 'необходимый', 'отдых', 'хотеться', 'общение', 'выбирать', 'максимально', 'спокойный', 'оппонент', 'проверить', 'друг', 'забывать', 'чувство', 'юмор', 'время', 'время', 'разгружать', 'обстановка', 'кстати', 'полезно', 'обсуждать', 'близкий', 'будущее', 'краска', 'панировать', 'близкий', 'выходной']"
17,2021-01-02,virgo,"['общение', 'ключ', 'успех', 'сегодня', 'общаться', 'частый', 'быть', 'слышать', 'комплимент', 'интересный', 'предложение', 'кстати', 'разговор', 'мочь', 'изменить', 'ситуация', 'рабочий', 'коллектив', 'кемтый', 'мочь', 'подружиться', 'кемтый', 'взяться', 'вместе', 'глобальный', 'проект', 'мелкий', 'задача', 'очень', 'многое', 'день', 'сложиться', 'ваш', 'сценарий', 'стоить', 'расстраиваться', 'довериться', 'звезда']"
18,2021-01-02,libra,"['сегодня', 'звезда', 'помочь', 'избежать', 'фатальный', 'ошибка', 'уйти', 'неприятность', 'схватить', 'удача', 'хвост', 'поэтому', 'дело', 'который', 'наметить', 'день', 'завершиться', 'успешно', 'бояться', 'браться', 'чтоть', 'новый', 'знакомиться', 'авторитетный', 'человек', 'получиться', 'ваш', 'харизма', 'день', 'способный', 'околдовать', 'каждый', 'также', 'звезда', 'советовать', 'забывать', 'просьба', 'нужда', 'близкий', 'человек', 'сделать', 'чтоть', 'приятный']"
19,2021-01-02,scorpio,"['махнуть', 'рука', 'стереотип', 'чьитый', 'привычка', 'пробовать', 'давно', 'хотеться', 'бояться', 'рисковать', 'вести', 'нестандартно', 'именно', 'это', 'притянуть', 'удача', 'также', 'звезда', 'советовать', 'сдерживать', 'эмоциональность', 'признаться', 'чувство', 'высказать', 'давно', 'хотеться', 'просто', 'почувствовать', 'живой', 'человек', 'работа', 'нестабильный', 'сконцентрироваться', 'одномдвуха', 'дело', 'завершить', 'успешно']"
20,2021-01-02,sagittarius,"['деньга', 'сам', 'идти', 'рука', 'главное', 'отпугнуть', 'лень', 'расточительство', 'вредный', 'выходить', 'зона', 'комфорт', 'негативный', 'событие', 'извне', 'мочь', 'сильно', 'ударить', 'ваш', 'ментальный', 'здоровье', 'близкий', 'круг', 'общение', 'разразиться', 'скандал', 'пытаться', 'помирить', 'противник', 'разрядить', 'обстановка', 'уходить', 'далёкий', 'хотя', 'целое', 'настроение', 'день', 'назвать', 'позитивный', 'везти', 'пользоваться', 'это']"
21,2021-01-02,capricorn,"['сегодня', 'стоить', 'активный', 'изобретательный', 'смело', 'отвечать', 'вызов', 'судьба', 'смочь', 'справиться', 'весь', 'проблема', 'быть', 'медлить', 'отвлекаться', 'долгий', 'раздумье', 'звезда', 'советовать', 'частый', 'обращать', 'внимание', 'мелочь', 'быть', 'играть', 'очень', 'важный', 'роль', 'вечером', 'отдохнуть', 'книга', 'поддерживать', 'потребность', 'новый', 'впечатление', 'приберечь', 'энергия', 'рабочий', 'неделя']"
22,2021-01-02,aquarius,"['многие', 'желание', 'мечта', 'исполнить', 'сегодня', 'подумать', 'какой', 'ваш', 'грёза', 'решаться', 'быстро', 'требовать', 'серьёзный', 'вложение', 'гарантировать', 'такой', 'найтись', 'немало', 'также', 'звезда', 'советовать', 'заводить', 'знакомство', 'интересный', 'человек', 'который', 'получить', 'выгода', 'это', 'говорить', 'абсолютно', 'ваш', 'мысль', 'должный', 'корыстный', 'почему', 'воспользоваться', 'открыться', 'возможность']"
23,2021-01-02,pisces,"['рационализм', 'факт', 'помочь', 'выйти', 'победитель', 'любой', 'спор', 'эмоция', 'мочь', 'испортить', 'ваш', 'боевой', 'настрой', 'диалог', 'день', 'целое', 'вообще', 'любой', 'информация', 'сегодня', 'стоить', 'пропускать', 'призма', 'критический', 'мышление', 'далеко', 'услышать', 'иметь', 'качество', 'значение', 'польза', 'также', 'звезда', 'советовать', 'пользоваться', 'тот', 'возможность', 'который', 'влечь', 'себя', 'немало', 'проблема', 'конечный', 'итог', 'выиграть', 'потратить']"
24,2021-01-03,aries,"['новый', 'год', 'весёлый', 'праздник', 'долгий', 'стрессовый', 'ситуация', 'мочь', 'выдохнуть', 'новогодний', 'суета', 'позади', 'мочь', 'расслабиться', 'насладиться', 'следующий', 'свободный', 'деньга', 'также', 'звезда', 'советовать', 'играть', 'второй', 'роль', 'ведомый', 'любой', 'отношение', 'высовываться', 'сложный', 'ситуация', 'полезно', 'заниматься', 'рутинный', 'бытовой', 'дело', 'убирать', 'последствие', 'весёлый', 'день']"
25,2021-01-03,gemini,"['праздник', 'закончиться', 'впереди', 'ждать', 'несколько', 'напрячь', 'день', 'звезда', 'давать', 'возможность', 'отдохнуть', 'зарядиться', 'энергия', 'сила', 'будущий', 'период', 'кстати', 'светило', 'советовать', 'комулибо', 'доверять', 'это', 'время', 'слушать', 'свой', 'внутренний', 'голос', 'подсказывать', 'верный', 'решение', 'также', 'стоить', 'маленький', 'тревожиться', 'расстраиваться', 'большой', 'риск', 'нервный', 'срыв']"
26,2021-01-03,taurus,"['пора', 'оставить', 'веселие', 'позади', 'ваш', 'организм', 'перенапрячь', 'необходимый', 'разгрузка', 'максимальный', 'отдых', 'поэтому', 'звезда', 'советовать', 'провести', 'день', 'горизонтальный', 'положение', 'также', 'позаботиться', 'здоровье', 'прогуляться', 'около', 'дом', 'выбрать', 'зелёный', 'салат', 'вместо', 'жирный', 'пища', 'вспомнить', 'витамин', 'восстанавливать', 'тело', 'разум', 'весь', 'возможный', 'способ']"
27,2021-01-03,cancer,"['ждать', 'близкий', 'многое', 'обычный', 'человек', 'мочь', 'полностью', 'оправдать', 'ваш', 'надежда', 'также', 'стоить', 'советоваться', 'доверять', 'решение', 'сложный', 'проблема', 'комулибо', 'сегодня', 'это', 'исключительно', 'ваш', 'плечо', 'стоить', 'держаться', 'далёкий', 'конфликт', 'стрессовый', 'ситуация', 'ваш', 'эмоциональный', 'фон', 'нестабильный', 'смочь', 'выдержать', 'нагрузка']"
28,2021-01-03,leo,"['быть', 'осторожный', 'финансы', 'редкий', 'доставать', 'кошелёк', 'карман', 'потратить', 'лишний', 'постараться', 'стрессовать', 'непростой', 'день', 'иначе', 'мочь', 'нажить', 'нервный', 'срыв', 'также', 'звезда', 'советовать', 'навести', 'порядок', 'дом', 'расчистить', 'пространство', 'привлекать', 'самый', 'изменение', 'жизнь', 'кроме', 'подумать', 'несколько', 'прежде', 'доверить', 'комуть', 'чужой', 'тайна', 'мочь', 'подвести']"
29,2021-01-03,virgo,"['обещание', 'решение', 'сегодня', 'мочь', 'обернуться', 'серьёзный', 'проблема', 'будущее', 'поэтому', 'стоить', 'осторожный', 'первый', 'второй', 'возможно', 'прийтись', 'взять', 'ответственность', 'поступок', 'другой', 'человек', 'ситуация', 'очень', 'важно', 'продумать', 'свой', 'ход', 'найти', 'верный', 'выход', 'поздний', 'звезда', 'отблагодарить', 'добрый', 'поступок']"
30,2021-01-03,libra,"['начать', 'дело', 'сегодня', 'стоить', 'завершить', 'вечер', 'самый', 'сложный', 'вовсе', 'браться', 'действовать', 'согласно', 'ваш', 'чёткий', 'план', 'день', 'закончиться', 'позитивный', 'нота', 'удачно', 'бояться', 'просить', 'помощь', 'старый', 'новый', 'знакомый', 'дело', 'пойти', 'быстрый', 'обратить', 'внимание', 'свой', 'здоровье', 'оно', 'нуждаться', 'ваш', 'забота']"
31,2021-01-03,scorpio,"['изголодаться', 'работа', 'звезда', '«за»', 'мозговой', 'штурм', 'несколько', 'сложный', 'час', 'злоупотреблять', 'вредный', 'работать', 'день', 'бояться', 'менять', 'отношение', 'чемулибо', 'вообще', 'иной', 'взгляд', 'вещь', 'помочь', 'решение', 'проблема', 'подкинуть', 'новый', 'эффективный', 'идея', 'вы', 'пята', 'следовать', 'удача', 'воспользоваться', 'возможность']"
32,2021-01-03,sagittarius,"['подключать', 'любой', 'процесс', 'творческий', 'мышление', 'сегодня', 'оно', 'помочь', 'найти', 'выход', 'сложный', 'ситуация', 'завершить', 'любой', 'дело', 'максимально', 'удачно', 'также', 'звезда', 'советовать', 'отказывать', 'близкие', 'любимый', 'просьба', 'попытаться', 'исполнить', 'маленький', 'мечта', 'частый', 'общаться', 'человек', 'ваш', 'харизма', 'помочь', 'найти', 'контакт', 'самый', 'сложный', 'закрытый', 'человек']"
33,2021-01-03,capricorn,"['решать', 'проблема', 'близкий', 'человек', 'выгодно', 'думать', 'чужой', 'неприятность', 'маленький', 'ошибка', 'совершать', 'сам', 'также', 'звезда', 'советовать', 'подумать', 'свой', 'здоровье', 'связь', 'природа', 'сегодня', 'свежий', 'воздух', 'прогулка', 'лес', 'мочь', 'укрепить', 'ваш', 'иммунитет', 'браться', 'сложный', 'рабочий', 'дело', 'смочь', 'справиться', 'они', 'новый', 'идея', 'план', 'записывать', 'воплощать', 'жизнь', 'пока', 'рано']"
34,2021-01-03,aquarius,"['сегодня', 'стоить', 'верить', 'свой', 'глаз', 'чужой', 'слово', 'это', 'иллюзия', 'враньё', 'давать', 'свой', 'негативный', 'мысль', 'шанс', 'существование', 'поднимать', 'настроение', 'весь', 'возможный', 'способ', 'также', 'звезда', 'советовать', 'проявлять', 'осторожность', 'общение', 'близкий', 'человек', 'лёгкий', 'разговор', 'свернуть', 'туда', 'закончиться', 'серьёзный', 'конфликт']"
35,2021-01-03,pisces,"['сила', 'великий', 'дело', 'вообще', 'страшный', 'сегодня', 'мочь', 'отдохнуть', 'несмотря', 'ленивый', 'день', 'соответствовать', 'настроение', 'большой', 'возможность', 'вляпаться', 'интересный', 'история', 'получить', 'неожиданный', 'сюрприз', 'вселенная', 'знакомиться', 'полезно', 'каждый', 'встреча', 'судьбоносный', 'также', 'звезда', 'советовать', 'избавляться', 'вредный', 'привычка', 'помочь', 'искоренить']"
36,2021-01-04,aries,"['энергия', 'разрывать', 'часть', 'толкать', 'инициатива', 'навязчивый', 'помощь', 'близкий', 'новый', 'идея', 'предложение', 'быть', 'сыпаться', 'ваш', 'голова', 'главное', 'понять', 'какой', 'выгореть', 'какой', 'стоять', 'ваш', 'внимание', 'частый', 'общаться', 'незнакомец', 'такой', 'образ', 'мочь', 'притянуть', 'головокружительный', 'перспектива', 'авторитетный', 'знакомый', 'обходить', 'сторона', 'будущее', 'мочь', 'полезный']"
37,2021-01-04,gemini,"['активно', 'общаться', 'обмениваться', 'мнение', 'идея', 'коллега', 'товарищ', 'знакомый', 'мочь', 'составить', 'выигрышный', 'план', 'который', 'принести', 'немалый', 'деньга', 'будущее', 'вообще', 'сегодня', 'звезда', 'давать', 'шанс', 'кардинально', 'изменить', 'жизнь', 'грех', 'это', 'воспользоваться', 'смотреть', 'сторона', 'проворонить', 'шанс', 'судьбоносный', 'знакомство']"
38,2021-01-04,taurus,"['вдохновение', 'помочь', 'посмотреть', 'простой', 'вещь', 'другой', 'угол', 'разглядеть', 'перспектива', 'стандартный', 'ситуация', 'найти', 'оригинальный', 'решение', 'старый', 'сложный', 'проблема', 'энергия', 'подталкивать', 'разговаривать', 'открыто', 'незнакомый', 'человек', 'момент', 'кстати', 'поменять', 'ваш', 'жизнь', 'предложить', 'невероятный', 'шанс', 'кстати', 'комуть', 'повезти', 'завязаться', 'новый', 'пылкий', 'роман']"
39,2021-01-04,cancer,"['разговор', 'сложно', 'клеиться', 'взять', 'расчёт', 'эмоция', 'чувство', 'собеседник', 'вообще', 'невнимательность', 'сегодня', 'довести', 'серьёзный', 'конфликт', 'поэтому', 'учитывать', 'мелочь', 'полезно', 'заниматься', 'творчество', 'мочь', 'понять', 'монетизировать', 'ваш', 'хобби', 'готовый', 'приступить', 'работа', 'круто', 'повезти', 'смочь', 'справиться', 'самый', 'сложный', 'дело']"
40,2021-01-04,leo,"['неплохой', 'день', 'максимальный', 'количество', 'возможность', 'смочь', 'они', 'воспользоваться', 'зависеть', 'исключительно', 'сегодня', 'звезда', 'вдохнуть', 'столько', 'энергия', 'сложно', 'усидеть', 'место', 'счастие', 'сидеть', 'день', 'вредный', 'дело', 'задача', 'каждый', 'даться', 'очень', 'легко', 'быть', 'активный', 'смочь', 'контролировать', 'эмоция', 'быть', 'торопиться', 'ухватить', 'удача', 'хвост']"
41,2021-01-04,virgo,"['присматриваться', 'обстоятельство', 'ситуация', 'день', 'сегодня', 'формироваться', 'тенденция', 'близкий', 'месяц', 'получиться', 'разгадать', 'план', 'вселенная', 'смочь', 'исполнить', 'многие', 'желание', 'получить', 'немаленький', 'деньга', 'будущее', 'полезно', 'наводить', 'порядок', 'дом', 'также', 'напрягаться', 'физически', 'незначительный', 'нагрузка', 'укрепить', 'иммунитет']"
42,2021-01-04,libra,"['пора', 'становиться', 'эгоист', 'мочь', 'получить', 'немалый', 'выгода', 'быть', 'думать', 'исключительно', 'любим', 'воспользоваться', 'лесть', 'комплимент', 'переманить', 'сторона', 'нужный', 'авторитетный', 'человек', 'также', 'звезда', 'советовать', 'проводить', 'время', 'семья', 'это', 'помочь', 'отдохнуть', 'психологически', 'понять', 'какой', 'направление', 'вести', 'жизнь', 'далёкий']"
43,2021-01-04,scorpio,"['отдыхать', 'активно', 'полный', 'катушка', 'работа', 'подождать', 'веселиться', 'встречаться', 'друг', 'ходить', 'вечеринка', 'вспомнить', 'зимний', 'забава', 'главное', 'сидеть', 'пятый', 'точка', 'иначе', 'последний', 'выходной', 'день', 'пройти', 'скучно', 'бессмысленно', 'трудиться', 'пот', 'лицо', 'звезда', 'советовать', 'частый', 'общаться', 'партнёр', 'коллега', 'день', 'прийти', 'согласие', 'абсолютно', 'каждый']"
44,2021-01-04,sagittarius,"['неожиданный', 'информация', 'перевернуть', 'ваш', 'план', 'будущее', 'комуть', 'повезти', 'смочь', 'подкорректировать', 'комуть', 'прийтись', 'выстраивать', 'полностью', 'новый', 'модель', 'поведение', 'подумать', 'именно', 'мочь', 'воспользоваться', 'обстоятельство', 'получить', 'выгода', 'завершить', 'свой', 'дело', 'удачно', 'принимать', 'расчёт', 'последствие', 'также', 'звезда', 'советовать', 'устроить', 'генеральный', 'уборка', 'избавиться', 'лишний', 'место', 'пустовать', 'прийти', 'новый', 'возможность']"
45,2021-01-04,capricorn,"['бежать', 'впереди', 'паровоз', 'торопиться', 'успеть', 'сразу', 'наоборот', 'нужно', 'время', 'просчитать', 'свой', 'ход', 'выстроить', 'тактика', 'обдумать', 'риск', 'выполнять', 'задумать', 'также', 'звезда', 'советовать', 'немного', 'поработать', 'сегодня', 'получиться', 'найти', 'решение', 'сложный', 'прошлый', 'задача', 'который', 'протяжение', 'долгий', 'время', 'поддаваться']"
46,2021-01-04,aquarius,"['пора', 'вспомнить', 'любим', 'хобби', 'сегодня', 'нужно', 'заниматься', 'нравиться', 'работать', 'убираться', 'дом', 'это', 'ваш', 'звезда', 'советовать', 'мочь', 'нажить', 'нервный', 'срыв', 'дополнительный', 'проблема', 'частый', 'общаться', 'знакомиться', 'быть', 'притягиваться', 'человек', 'который', 'быть', 'полезный', 'позитивный', 'повлиять', 'ваш', 'будущее']"
47,2021-01-04,pisces,"['каждый', 'встреча', 'судьбоносный', 'каждый', 'новый', 'знакомый', 'ваш', 'билет', 'счастливый', 'будущее', 'звезда', 'советовать', 'сегодня', 'частый', 'общаться', 'активный', 'привлечь', 'жизнь', 'позитивный', 'перемена', 'энергия', 'который', 'внутри', 'слишком', 'подталкивать', 'сложный', 'дело', 'невыполнимый', 'задача', 'уверить', 'день', 'невозможный', 'возможно']"
48,2021-01-05,aries,"['сегодня', 'овен', 'окунуться', 'мир', 'романтик', 'загадка', 'интрига', 'простор', 'мысль', 'любовный', 'действие', 'найти', 'коготь', 'необычный', 'момент', 'звезда', 'предупреждать', 'потенциальный', 'партнёр', 'чтоть', 'утаивать', 'пребывать', 'отношение', 'стоить', 'аккуратный', 'чувство', 'эмоция', 'многообразие', 'нарушить', 'ваш', 'идиллия', 'работа', 'нужно', 'контролировать', 'процесс', 'бросать', 'дело', 'самотёк']"
49,2021-01-05,gemini,"['запутать', 'день', 'сегодня', 'стоить', 'полагаться', 'свой', 'ощущение', 'поддаться', 'внутренний', 'голос', 'мочь', 'проглядеть', 'истина', 'лежать', 'прямо', 'ваш', 'нога', 'также', 'отложить', 'серьёзный', 'дело', 'сконцентрироваться', 'творчество', 'наделать', 'ошибка', 'звезда', 'советовать', 'маленький', 'общаться', 'человек', 'ввязаться', 'чужой', 'скандал', 'важный', 'дело', 'поговорить', 'специалист']"
50,2021-01-05,taurus,"['отношение', 'телец', 'прозрачный', 'хотеться', 'причина', 'ложь', 'крыться', 'глубокий', 'прошлый', 'звезда', 'советовать', 'сменить', 'сценарий', 'знакомство', 'общение', 'доверять', 'человек', 'этот', 'проблема', 'исчезнуть', 'ваш', 'жизнь', 'сегодня', 'также', 'необходимо', 'подключить', 'творческий', 'мышление', 'умение', 'схватывать', 'новый', 'технология', 'налёт', 'пока', 'другой', 'задумываться', 'эмоция', 'быть', 'мешать', 'работа', 'поэтому', 'следовать', 'отключить', 'сконцентрироваться', 'важный', 'задача']"
51,2021-01-05,cancer,"['посмотреть', 'проблема', 'другой', 'угол', 'расправиться', 'они', 'быстро', 'успешно', 'кстати', 'задача', 'стоить', 'решать', 'нестандартный', 'метод', 'обратить', 'внимание', 'начальство', 'торопиться', 'стоить', 'обдумать', 'каждый', 'слово', 'действие', 'представить', 'возможный', 'исход', 'событие', 'также', 'звезда', 'советовать', 'игнорировать', 'совет', 'близкий', 'любимый', 'человек', 'видеть', 'ваш', 'неудача', 'знать', 'какой', 'образ', 'решить']"
52,2021-01-05,leo,"['звезда', 'быть', 'корректировать', 'сценарий', 'день', 'расстраиваться', 'стоить', 'изменение', 'привести', 'успех', 'переоценка', 'прошлый', 'действие', 'частый', 'слушайте', 'интуиция', 'способный', 'подсказать', 'правильный', 'путь', 'найти', 'верный', 'слово', 'трудный', 'разговор', 'подходить', 'задача', 'креативный', 'выполнить', 'быстро', 'получить', 'удовольствие', 'работа', 'поздний', 'вечером', 'пообщаться', 'любимый', 'человек', 'просто', 'отдохнуть']"
53,2021-01-05,virgo,"['общаться', 'партнёр', 'коллега', 'друг', 'родственник', 'сегодня', 'это', 'помочь', 'наладить', 'связь', 'продвинуться', 'карьерный', 'лестница', 'условие', 'пандемия', 'стоить', 'выбирать', 'самый', 'безопасный', 'вариант', 'связь', 'телефон', 'компьютер', 'расстраиваться', 'изз', 'критика', 'намотать', 'ус', 'замечание', 'пытаться', 'стать', 'бояться', 'сложный', 'задача', 'сегодня', 'мочь']"
54,2021-01-05,libra,"['отличный', 'день', 'работа', 'хобби', 'домашний', 'забота', 'что', 'притрагиваться', 'ваш', 'рука', 'завершаться', 'удачно', 'новый', 'проект', 'развиваться', 'бешеный', 'скорость', 'крошечный', 'проблема', 'сам', 'уходить', 'ваш', 'путь', 'пользоваться', 'позитивный', 'тенденция', 'день', 'наладить', 'жизнь', 'также', 'звезда', 'советовать', 'заняться', 'домашний', 'хлопоты', 'прекрасный', 'время', 'генеральный', 'уборка', 'косметический', 'ремонт']"
55,2021-01-05,scorpio,"['сегодня', 'подпитывать', 'азарт', 'конфликт', 'вдохновение', 'поэтому', 'рутинный', 'дело', 'быть', 'идти', 'плохо', 'карьера', 'намечаться', 'глобальный', 'перемена', 'настроить', 'обойти', 'конкурент', 'звезда', 'советовать', 'положиться', 'судьба', 'некоторый', 'проект', 'невозможно', 'сдвинуть', 'место', 'значит', 'прийти', 'время', 'реализация', 'пока', 'стоить', 'отложить', 'отдохнуть', 'перевести', 'дух', 'бесконечный', 'дело', 'смочь', 'вечером']"
