,date,sign,text
13,2021-01-02,gemini,"Будущее в ваших руках – меньше тревожьтесь за него и больше стройте планы, договаривайтесь с людьми. Также стоит активнее менять настоящее – вы отказываетесь от многих благ из-за страха или некорректной информации, и возможно, пришло время попробовать. А вот сжигать мосты и рвать отношения сегодня – плохая идея. Люди и связи пригодятся вам в скором времени. Не стоит бояться сложных и серьезных задач – даже если они не поддались вашим коллегам, вы можете справиться с ними на ура."
14,2021-01-02,taurus,"Сегодня вы можете насмешить спешкой не только людей, но и звезды. Выделяйте на каждое дело максимальное количество времени, не торопитесь что-либо сказать или сделать, и тогда день пройдет отлично. Кстати, некоторые же дела и вопросы потребуют сиюминутного решения. Интуиция подскажет вам, когда придется действовать молниеносно, а когда – медленно и дотошно. На личном фронте все тоже неспокойно – работа может ударить по отношениям."
15,2021-01-02,cancer,"Смело смотрите вперед, обговаривайте мелочи, но не делайте резких движений. Сейчас вам нужно хорошенько подготовиться к будущему, продумать все сценарии развития сюжета, вычислить все ошибки, прежде чем выстраивать свою жизнь так, как задумалось. Кстати, прошлое сегодня тоже может напомнить о себе – ваши неверные действия откликнутся неприятностями именно в это сложное время. Также полезно присматриваться к людям – вы можете изменить свое мнение о некоторых."
16,2021-01-02,leo,"Осторожнее с эмоциями – сегодня нервная система может «сдать». Поэтому занимайтесь сейчас только любимыми делами, медитацией или больше спите – вашему организму необходим отдых. А если хочется общения, выбирайте максимально спокойных оппонентов или проверенных друзей. И не забывайте о чувстве юмора, чтобы время от времени разгружать обстановку. Кстати, сейчас полезно обсуждать с близкими будущее во всех красках и панировать ближайшие выходные."
17,2021-01-02,virgo,"Общение – ключ к успеху. Чем больше вы сегодня общаетесь, тем чаще будете слышать комплименты и интересные предложения. Кстати, разговоры могут изменить ситуацию и в рабочем коллективе – с кем-то вы можете подружиться, а с кем-то – взяться вместе за глобальный проект или мелкие задачи. Очень многое в этот день может сложиться не по вашему сценарию, но не стоит расстраиваться – доверьтесь звездам."
18,2021-01-02,libra,"Сегодня звезды помогут вам избежать фатальных ошибок, уйти от неприятностей и схватить удачу за хвост. Поэтому все дела, которые намечены на этот день, завершатся успешно. Не бойтесь браться за что-то новое и знакомиться с авторитетными людьми – сейчас получится все. Тем более, что ваша харизма в этот день способна околдовать каждого. Также звезды советуют не забывать о просьбах и нуждах близких людей – сделайте для них что-то приятное. "
19,2021-01-02,scorpio,"Махните рукой на стереотипы и чьи-то привычки и пробуйте то, что вам давно хотелось. Не бойтесь рисковать и вести себя нестандартно – именно это сейчас притянет к вам удачу. Также звезды советуют не сдерживать свою эмоциональность – можно признаться в чувствах, высказать то, что давно хотелось и просто почувствовать себя живым человеком. В работе тоже все нестабильно – сконцентрируйтесь на одном-двух делах, чтобы завершить их успешно."
20,2021-01-02,sagittarius,"Деньги сами идут к вам в руки. Главное – не отпугнуть их ленью или расточительством. Вредно выходить из зоны комфорта – негативные события извне могут сильно ударить по вашему ментальному здоровью. Но даже в близком круге общения может разразиться скандал. Не пытайтесь помирить противников или разрядить обстановку, лучше уходите подальше. Хотя в целом настроение дня нельзя назвать позитивным, вам будет везти – пользуйтесь этим. "
21,2021-01-02,capricorn,"Сегодня стоит быть активнее, изобретательнее и смело отвечать на все вызовы судьбы. Вы сможете справиться со всеми проблемами, если не будете медлить и отвлекаться на долгие раздумья. Звезды советуют чаще обращать внимание на мелочи – сейчас они будут играть очень важную роль. Вечером лучше отдохнуть за книгой и не поддерживать потребность в новых впечатлениях – приберегите энергию на рабочую неделю."
22,2021-01-02,aquarius,"Многие желания и мечты можно исполнить уже сегодня. Подумайте, какие из ваших грез решаются быстро и не требуют серьезных вложений – мы гарантируем, таких найдется немало. Также звезды советуют заводить знакомства с интересными людьми, от которых можно получить выгоду. Это не говорит, что абсолютно все ваши мысли должны быть корыстными, но почему бы не воспользоваться открывшимися возможностями? "
23,2021-01-02,pisces,"Рационализм и факты помогут выйти победителем из любого спора. Эмоции же могут испортить ваш боевой настрой не только на диалог, но и на день в целом. Вообще, любую информацию сегодня стоит пропускать через призму критического мышления – далеко не все, что вы услышите, будет иметь качество, значение и пользу. Также звезды советуют пользоваться теми возможностями, которые влекут за собой немало проблем – в конечном итоге вы выиграете куда больше, чем потратите."
24,2021-01-03,aries,"Новы год – не только веселый праздник, но и долгая стрессовая ситуация. Можете выдохнуть: новогодняя суета позади, и теперь вы можете расслабиться и насладиться следующими свободными деньгами. Также звезды советуют играть только вторые роли, быть ведомыми в любых отношениях и не высовываться в сложных ситуациях. Полезно заниматься рутинными бытовыми делами, убирать последствия веселых дней."
25,2021-01-03,gemini,"Праздник закончился, и впереди вас ждет несколько напряженных дней, но сейчас звезды дают вам возможность отдохнуть, зарядиться энергией и силами на будущий период. Кстати, светила не советуют кому-либо доверять в это время. Лучше слушать свой внутренний голос – только он будет подсказывать верные решения. Также стоит меньше тревожиться и расстраиваться – велик риск нервного срыва."
26,2021-01-03,taurus,"Пора оставить веселье позади – ваш организм перенапряжен и вам необходима разгрузка, максимальный отдых. Поэтому звезды советуют провести этот день в горизонтальном положении. Также можно позаботиться о здоровье: прогуляться около дома, выбрать зеленый салат вместо жирной пищи, вспомнить о витаминах. Восстанавливайте тело и разум всеми возможными способами."
27,2021-01-03,cancer,"Не ждите от близких многого – они обычные люди, и не могут полностью оправдать ваши надежды. Также не стоит советоваться или доверять решение сложных проблем кому-либо: сегодня это исключительно на ваших плечах. Стоит держаться подальше от конфликтов и стрессовых ситуаций – сейчас ваш эмоциональный фон нестабилен, и вы не сможет выдержать такой нагрузки."
28,2021-01-03,leo,"Будьте осторожнее с финансами: реже доставайте кошелек из кармана, чтобы не потратить лишнего. Постарайтесь не стрессовать в такой непростой день, иначе можете нажить себе нервный срыв. Также звезды советуют навести порядок в доме, расчистить пространство, привлекая тем самым изменения в свою жизнь. Кроме того, подумайте несколько раз, прежде чем доверить кому-то свою или чужую тайну – вас могут подвести."
29,2021-01-03,virgo,"Обещания и решения сегодня могут обернуться серьезными проблемами в будущем, поэтому стоит быть осторожнее и с первым, и со вторым. Возможно, сейчас придется взять на себя ответственность за поступки другого человека, и в этой ситуации очень важно продумать все свои ходы, найти верный выход – позже звезды отблагодарят вас за такой добрый поступок."
30,2021-01-03,libra,"Все начатые дела сегодня стоит завершить еще до вечера, за самые сложные лучше и вовсе не браться. Действуйте, согласно вашему четкому плану, и тогда день закончится на позитивной ноте, удачно. Не бойтесь просить помощи у старых и новых знакомых – так дела пойдут еще быстрее. Обратите внимание на свое здоровье – сейчас оно нуждается в вашей заботе."
31,2021-01-03,scorpio,"Вы изголодались по работе, и звезды «за» мозговой штурм и несколько сложных часов, но только не злоупотребляйте – вредно работать много в этот день. Не бойтесь менять отношение к чему-либо: вообще, иной взгляд на вещи может помочь вам в решении проблем или подкинет новые эффективные идеи. Сейчас за вами по пятам следует удача – воспользуйтесь этой возможностью."
32,2021-01-03,sagittarius,Подключайте к любому процессу творческое мышление – сегодня оно поможет найти выход из сложной ситуации и завершить любые дела максимально удачно. Также звезды советуют не отказывать близким и любимым в просьбах или попытаться исполнить их маленькие мечты. Чаще общайтесь с людьми – ваша харизма поможет найти контакт даже с самым сложным и закрытым человеком.
33,2021-01-03,capricorn,"Решать проблемы близких людей выгодно: чем больше вы думаете о чужих неприятностях, тем меньше ошибок совершаете сами. Также звезды советуют подумать о своем здоровье и о связи с природой – сегодня свежий воздух, прогулки по лесу могут укрепить ваш иммунитет. Можно браться за сложные рабочие дела – сейчас вы сможете справиться с ними. А вот новые идеи и планы лучше записывать, но не воплощать в жизнь – пока рано."
34,2021-01-03,aquarius,"Сегодня не стоит верить своим глазам и чужим словам – все это будет иллюзией или враньем. Не давайте своим негативным мыслям и шанса на существование, поднимайте настроение всеми возможными способами. Также звезды советуют проявлять осторожность в общении с близкими людьми – легкий разговор может свернуть не туда и закончиться серьезным конфликтом. "
35,2021-01-03,pisces,"Сил на великие дела не будет вообще, но в этом нет ничего страшного – сегодня вы можете отдохнуть. Несмотря на ленивый день и соответствующее настроение, велика возможность вляпаться в интересную историю, получить неожиданный сюрприз от Вселенной. А вот знакомиться полезно: каждая встреча судьбоносна. Также звезды советуют избавляться от вредных привычек – они помогут вам их искоренить."
36,2021-01-04,aries,"Энергия разрывает вас на части и толкает на инициативы и навязчивую помощь близкому. Новые идеи и предложения будут сыпаться на вашу голову, и главное сейчас – понять, какие выгорят, а какие не стоят вашего внимания. Чаще общайтесь с незнакомцами – таким образом вы можете притянуть к себе головокружительные перспективы. Авторитетных знакомых тоже не обходите стороной – в будущем они могут быть полезными."
37,2021-01-04,gemini,"Активно общайтесь, обменивайтесь мнением и идеями с коллегами, товарищами и знакомыми – сейчас вы можете составить выигрышный план, который принесет вам немалые деньги в будущем. Вообще, сегодня звезды дают вам шанс кардинально изменить свою жизнь, и грех этим не воспользоваться. Смотрите по сторонам, чтобы не проворонить шансы и судьбоносные знакомства."
38,2021-01-04,taurus,"Вдохновение поможет вам посмотреть даже на простые вещи под другим углом, разглядеть перспективы в стандартных ситуациях и найти оригинальные решения старых сложных проблем. А вот энергия подталкивает разговаривать открыто даже с незнакомыми людьми – этот момент, кстати, может поменять вашу жизнь через предложенные невероятные шансы. Кстати, кому-то повезет еще больше – завяжется новый пылкий роман."
39,2021-01-04,cancer,"Разговор будет сложно клеиться, если вы не возьмете в расчет эмоции и чувства собеседника. Вообще, невнимательность сегодня может довести до серьезного конфликта, поэтому всегда учитывайте мелочи. Полезно заниматься творчеством – сейчас вы можете понять, как монетизировать ваше хобби. Тем, кто уже готов приступить к работе, тоже круто повезет – вы сможете справиться с самыми сложными делами."
40,2021-01-04,leo,"Неплохой день с максимальным количеством возможностей, а вот сможете вы ими воспользоваться или нет – зависит исключительно от вас. Сегодня звезды вдохнут в вас столько энергии, что будет сложно усидеть на месте. К счастью, сидеть в этот день вредно – сейчас у вас много дел и задач, и каждая из них дастся вам очень легко, если вы будете активны. А вот если сможете контролировать эмоции и не будете торопиться, то ухватите удачу за хвост."
41,2021-01-04,virgo,"Присматривайтесь к обстоятельствам и ситуациям этого дня – сегодня формируются тенденции на ближайшие месяцы, и если у вас получится разгадать планы Вселенной, то сможете исполнить многие желания и получить немаленькие деньги в будущем. Полезно наводить порядок в доме, а также напрягаться физически – сейчас даже незначительная нагрузка может укрепить вам иммунитет."
42,2021-01-04,libra,"Пора становиться эгоистом – сейчас вы можете получить немалую выгоду, если будете думать исключительно о себе любимом. Можно воспользоваться лестью и комплиментами, чтобы переманить на свою сторону нужных или авторитетных людей. Также звезды советуют проводить больше времени с семьей – это поможет вам отдохнуть психологически и понять, в каком направлении вести свою жизнь и дальше."
43,2021-01-04,scorpio,"Отдыхайте активно и на полную катушку, если работа еще может подождать: веселитесь, встречайтесь с друзьями, ходите на вечеринки, вспомните о зимних забавах. Главное – не сидите на пятой точке, иначе последние выходные дни пройдут скучно и бессмысленно. Тем же, что уже трудится в поте лица, звезды советуют чаще общаться с партнерами, коллегами – в этот день можно прийти к согласию абсолютно с каждым."
44,2021-01-04,sagittarius,"Неожиданная информация может перевернуть ваши планы на будущее. Кому-то повезет, и он сможет подкорректировать их, а кому-то придется выстраивать полностью новую модель поведения. Подумайте, как именно вы можете воспользоваться обстоятельствами, чтобы получить выгоду, завершить свои дела удачно, принимая в расчет последствия. Также звезды советуют устроить генеральную уборку, избавиться от лишнего – место не будет пустовать, придут новые возможности."
45,2021-01-04,capricorn,"Не бегите впереди паровоза, не торопитесь успеть все и сразу. Сейчас вам, наоборот, нужно время, чтобы просчитать свои ходы, выстроить тактику и обдумать все риски, а уже потом выполнять задуманное. Также звезды советуют немного поработать – сегодня у вас получится найти решение даже сложных прошлых задач, которые на протяжении долгого времени вам не поддавались."
46,2021-01-04,aquarius,"Пора вспомнить о любимом хобби – сегодня нужно заниматься только тем, что вам нравится. А вот работать и убираться в доме, если это не ваше, звезды не советуют – можете нажить себе нервный срыв и дополнительные проблемы. Чаще общайтесь, знакомитесь – сейчас к вам будут притягиваться люди, которые будут вам полезны,  позитивно повлияют на ваше будущее."
47,2021-01-04,pisces,"Каждая встреча – судьбоносна, каждый новый знакомый – ваш билет в счастливое будущее. Звезды советуют сегодня чаще общаться, быть активнее, чтобы привлечь в свою жизнь позитивные перемены. Энергия, которой сейчас внутри вас слишком много, подталкивает на сложные дела и невыполнимые задачи, но вы так уверены в себе, что в этот день даже невозможное может быть возможно."
48,2021-01-05,aries,"Сегодня Овны окунутся в мир романтики, загадок и интриг. Простор будет не только для мыслей, но и для любовных действий. Можно найти кого-то необычного в этот момент, но звезды предупреждают – потенциальный партнер будет что-то утаивать от вас. А тем, кто уже пребывает в отношениях, стоит быть аккуратнее с чувствами и эмоциями – их многообразие может нарушить вашу идиллию. В работе же нужно контролировать все процессы, а не бросать дела на самотек."
49,2021-01-05,gemini,"Запутанный день. Сегодня не стоит полагаться на свои ощущения – поддавшись внутреннему голосу, вы можете проглядеть истину, лежащую прямо перед вашими ногами. Также лучше отложить серьезные дела и сконцентрироваться на творчестве – так вы не наделайте ошибок. Звезды советуют меньше общаться с людьми, чтобы не ввязаться в чужой скандал, но о важных для вас делах можно поговорить со специалистом."
50,2021-01-05,taurus,"Отношения Тельцов не так прозрачны, как бы им хотелось, и причины лжи кроются в глубоком прошлом. Звезды советуют сменить сценарий знакомства и общения, доверять людям больше, и тогда эта проблема исчезнет из вашей жизни. Сегодня вам также необходимо подключить творческое мышление и умение схватывать новые технологии налету, пока другие только задумываются о них. Эмоции будут мешать в работе, поэтому сейчас их следует отключить и сконцентрироваться на важных задачах. "
51,2021-01-05,cancer,"Посмотрите на проблемы под другим углом, чтобы расправиться с ними быстро и успешно. Кстати, задачи стоит тоже решать нестандартными методами – так вы обратите на себя внимание начальства. При этом торопиться не стоит, лучше обдумать каждое слово действие и представить все возможные исходы событий. Также звезды советуют не игнорировать советы близких и любимых – сейчас эти люди видят все ваши неудачи и знают, каким образом их решить."
52,2021-01-05,leo,"Звезды будут корректировать сценарий этого дня, но расстраиваться не стоит – все изменения приведут только к успеху или переоценке прошлых действий. Чаще слушайте интуицию – она способна подсказать вам правильный путь или найти верные слова в трудном разговоре. Подходите к задачам креативно, чтобы выполнить их быстро и получить удовольствие от работы. А поздним вечером можно пообщаться с любимыми людьми или просто отдохнуть."
53,2021-01-05,virgo,"Больше общайтесь с партнерами, коллегами, друзьями, родственниками – сегодня это поможет вам не только наладить связь, но и продвинуться по карьерной лестнице. Конечно, в условиях пандемии стоит выбирать самые безопасные варианты связи – телефон и компьютер. Не расстраивайтесь из-за критики, лучше намотать на ус замечания и пытаться стать лучше. Не бойтесь сложных задач – сегодня вы можете все."
54,2021-01-05,libra,"Отличный день для работы, хобби и домашних забот. Все, к чему притрагивается ваша рука, завершается удачно, новые проекты развиваются с бешеной скоростью, а крошечные проблемы сами уходят с вашего пути. Пользуйтесь позитивными тенденциями этого дня, чтобы наладить свою жизнь. Также звезды советуют заняться домашними хлопотами – сейчас прекрасное время для генеральной уборки или косметического ремонта."
55,2021-01-05,scorpio,"Сегодня вас будет подпитывать азарт, конфликт и вдохновение, поэтому рутинные дела будут идти плохо, а вот в карьере намечаются глобальные перемены – вы настроены обойти всех конкурентов. Звезды советуют положиться на судьбу – если некоторые проекты невозможно сдвинуть с места, значит, не пришло время их реализации, пока стоит отложить. Отдохнуть и перевести дух от бесконечных дел вы сможете только вечером."
56,2021-01-05,sagittarius,"Сконцентрируйтесь на чем-то одном. Сегодня ваше внимание будет гулять из стороны в сторону и не даст закончить даже одно единственное дело, поэтому стоит всеми способами удерживать взгляд на самом важном. Также звезды советуют спускаться с неба на землю и заниматься насущными вопросами, которые обеспечат вам безбедное будущее. Кстати, деньги сейчас сами идут к вам в руки – постарайтесь им не мешать."
57,2021-01-05,capricorn,"Чем больше дел вы взвалите сегодня на свои плечи, тем труднее будет двигаться дальше, общаться и комфортно работать. Конечно, от важных забот (которых в этот день будет немало) не уйти, но попытаться не брать на себя дополнительную ответственность вы сможете. Время от времени лучше отвлекаться на любимые дела – так вы снизите уровень стресса. На любовном фронте тоже лучше не торопить события – разберитесь в своих чувствах, прежде чем перейти на новый уровень."
58,2021-01-05,aquarius,"Все идет по вашему личному плану, никуда не сворачивая. Попытайтесь воспользоваться этой ситуацией и превратить в жизнь те задумки, которые вы вынашиваете уже долгое время. Также звезды советуют больше общаться, браться за трудные дела на работе и домашние заботы. А вот на любовном фронте можно сильно не напрягаться – расслабьтесь и передайте бразды правления второй половинке. Проблем можно ждать только в отношениях с близкими – пытайтесь сглаживать острые углы. "
59,2021-01-05,pisces,"Отодвиньте работу и личные дела на второй план и устройте семейный день. Сегодня вам необходимо общаться, заниматься общими делами и хозяйничать по дому вместе с близкими и любимыми людьми. Так вы не только укрепите связь с ними, но и перезагрузитесь. Начинать что-то новое нежелательно, если только это задание не подкинули вам сами звезды или судьба. Также сейчас полезно строить планы на будущее и расставлять приоритеты."
